file_name	trait	trait_abbrev
ieu-a-1002	Leptin	Leptin
ieu-a-1037	Difference in height between childhood and adulthood	HtChdAdu
ieu-a-1040	Difference in height between adolescence and adulthood	HtAdoAdu
ieu-a-1049	Iron	Iron
ieu-a-1050	Ferritin	Ferritin
ieu-a-1052	Transferrin	Transfrin
ieu-a-1054	Gout	Gout
ieu-a-1096	Childhood obesity	ChObesity
ieu-a-113	Neo-agreeableness	NeoAgree
ieu-a-114	Neo-conscientiousness	NeoConsc
ieu-a-115	Neo-extraversion	NeoExtra
ieu-a-116	Neo-neuroticism	NeoNeuro
ieu-a-117	Neo-openness to experience	NeoOpen
ieu-a-1183	ADHD	ADHD
ieu-a-1185	Autism Spectrum Disorder	AutismSD
ieu-a-1186	Anorexia Nervosa	Anorexia
ieu-a-1189	Obsessive Compulsive Disorder	OCD
ieu-a-29	Birth length	BirthLen
ieu-a-789	Urate	Urate
ieu-b-103	HbA1C	HbA1C
ieu-b-113	Fasting glucose	FastGlu
ieu-b-115	Fasting insulin	FastIns
ieu-b-117	HOMA-B	HOMA-B
ieu-b-118	HOMA-IR	HOMA-IR
ieu-b-18	multiple sclerosis	MS
ieu-b-4764	C-reactive protein	CRP
ieu-b-4816	Body mass index	BMI
ieu-b-4818	Systolic blood pressure	SysBP
ieu-b-4819	Age at first birth	Age1stBr
ieu-b-4822	Age at menarche	AgeMenar
ieu-b-4824	Age at menopause	AgeMenop
ieu-b-4825	Cigarettes smoked per day	CigsDay
ieu-b-4827	Number of children ever born measurement	NumChild
ieu-b-4829	Waist-hip ratio	WHRatio
ieu-b-4832	Estimated glomerular filtration rate	eGFR
ieu-b-4833	Alcohol consumption	AlcCons
ieu-b-4835	Years of schooling	EduYears
ieu-b-4837	Cognitive function	CogFunc
ieu-b-4839	Depressive symptoms	DepressS
ieu-b-4841	HbA1c	HbA1C
ieu-b-4843	HDL cholesterol	HDLchol
ieu-b-4846	LDL cholesterol	LDLchol
ieu-b-4847	Neuroticism	Neurotic
ieu-b-4849	Triglycerides	Triglyc
ieu-b-4852	Wellbeing	Wellbein
ieu-b-4853	Forced expiratory volume in 1-second	FEV1
ieu-b-4856	FEV1/FVC	FEV1FVC
ieu-b-4858	Ever smoked	EverSmok
ieu-b-4859	Physical activity	PhysAct
ieu-b-29	basophil cell count	BasoCt
ieu-b-7	Parkinson's disease	ParkDis
ieu-b-33	eosinophil cell count	EosCt
ieu-b-31	monocyte cell count	MonoCt
ieu-b-34	neutrophil cell count	NeutCt
ieu-b-32	lymphocyte cell count	LymphCt
ieu-b-30	white blood cell count	WBCcount
ieu-b-4879	telomere length	TeloLen
ieu-b-42	schizophrenia	Schizo
ieu-a-1087	Chronotype	Chrono
ieu-b-4812	25 hydroxyvitamin D level	VitD_25
ieu-b-41	bipolar disorder	Bipolar
ieu-a-31	Inflammatory bowel disease	IBD
ieu-b-73	Alcoholic drinks per week	AlcWk
ukb-a-357	Underlying (primary) cause of death: ICD10: E85.4 Organ-limited amyloidosis	AmyloidO
ukb-a-358	Underlying (primary) cause of death: ICD10: J84.1 Other interstitial pulmonary diseases with fibrosis	PulmFib
ukb-d-4803_0	Tinnitus: No, never	TinnNo
ukb-d-20544_15	Mental health problems ever diagnosed by a professional: Anxiety, nerves or generalized anxiety disorder	Anxiety
ukb-d-20117_2	Alcohol drinker status: Current	AlcCur
ukb-d-4968	FI4 : positional arithmetic	FI4_PosA
ukb-d-20529	Victim of physically violent crime	PhysViol
ukb-d-30500_irnt	Microalbumin in urine	MicroAlb
ukb-d-22607_1	Workplace very cold: Sometimes	ColdWork
ukb-d-4979	FI5 : family relationship calculation	FI5_FamR
ukb-d-20421	Ever felt worried, tense, or anxious for most of a month or longer	AnxLong
ukb-d-20126_0	Bipolar and major depression status: No Bipolar or Depression	NoBPDep
ukb-d-22506_114	Tobacco smoking: Never smoked	NeverSmk
ukb-d-4990	FI6 : conditional arithmetic	FI6_Cond
ukb-d-20500	Ever suffered mental distress preventing usual activities	MentDis
ukb-d-4957	FI3 : word interpolation	FI3_Word
ukb-d-30740_irnt	Glucose	Glucose
ukb-d-20544_11	Mental health problems ever diagnosed by a professional: Depression	DepressD
ukb-d-20499	Ever sought or received professional help for mental distress	MentHelp
ukb-a-339	Used an inhaler for chest within last hour	Inhaler
ukb-a-528	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	MonoUL
ukb-a-525	Diagnoses - main ICD10: F31 Bipolar affective disorder	BipolarD
ukb-a-368	Work/job satisfaction	JobSat
ukb-d-22606_2	Workplace very noisy: Often	NoiseJob
ukb-d-5012	FI8 : chained arithmetic	FI8_ChnA
ukb-a-351	Length of menstrual cycle	MenstrLn
ukb-d-20546_3	Substances taken for depression: Medication prescribed to you (for at least two weeks)	DepMed
ukb-a-340	Hearing aid user	HearingA
ukb-a-392	Maximum workload during fitness test	MaxWork
ukb-a-527	Diagnoses - main ICD10: G47 Sleep disorders	SleepDis
ukb-a-369	Health satisfaction	HealthSat
ukb-a-302	Hair/balding pattern: Pattern 3	HairP3
ukb-a-197	Prospective memory result	MemPros
ukb-a-516	Duration walking for pleasure	WalkDur
ukb-d-30060_irnt	Mean corpuscular haemoglobin concentration	MCHC
ukb-a-376	Ever unenthusiastic/disinterested for a whole week	Unenthus
ukb-d-30780_irnt	LDL direct	LDLDir
ieu-b-5067	Alzheimer's disease	AlzDis
ukb-a-381	Leg pain on walking	LegPain
